CustomerId,Geography,Gender,Age,Tenure,Balance,EstimatedSalary,NumOfProducts,Credit_Card_Status,Engagement_Status,Product_Depth_Segment,Customer_Risk_Segment,Relationship_Strength_Index,Churn_Status
15815490,Germany,Male,40,2,164948.98,177028.0,3,No Credit Card,Inactive Member,High Product Load,At-Risk Premium,30,Churned
15653776,Germany,Female,57,1,162082.31,27145.73,4,No Credit Card,Inactive Member,High Product Load,At-Risk Premium,30,Churned
15711843,Germany,Male,40,1,147856.82,107961.11,3,No Credit Card,Inactive Member,High Product Load,At-Risk Premium,30,Churned
15621550,Spain,Female,50,1,140292.58,69531.22,3,No Credit Card,Inactive Member,High Product Load,At-Risk Premium,30,Churned
15709920,France,Female,33,2,208165.53,50774.81,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15624729,France,Male,27,0,197041.8,151912.49,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15804721,France,Male,49,0,191808.73,97640.2,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15731507,France,Female,33,1,188285.68,58363.94,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15593425,Spain,Female,54,1,187997.15,111442.71,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15737792,France,Female,31,1,186796.37,178252.63,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15594391,France,Female,68,2,183555.24,159557.28,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15707078,France,Female,26,1,180530.51,123454.62,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15600337,Spain,Male,42,2,178820.91,29358.57,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15705298,Germany,Male,29,0,172693.54,141798.98,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15741403,Spain,Female,38,1,171848.38,16957.45,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15689786,Germany,Male,56,1,169743.83,155850.4,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15807269,Germany,Male,43,2,166522.78,119644.59,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15761497,Spain,Female,48,1,163760.82,157381.14,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15787619,France,Male,18,2,160980.03,145936.28,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15621435,France,Female,39,1,160903.2,78774.36,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
15753549,France,Male,25,1,157848.53,37543.93,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Churned
15661548,France,Female,29,0,157829.12,129891.66,1,No Credit Card,Inactive Member,Single Product,At-Risk Premium,35,Retained
