CustomerId,Geography,Gender,Age,Tenure,Balance,EstimatedSalary,NumOfProducts,Credit_Card_Status,Engagement_Status,Product_Depth_Segment,Customer_Risk_Segment,Retention_Priority_Segment,Relationship_Strength_Index,Relationship_Strength_Tier,Retention_Strength_Score,Retention_Strength_Tier,Churn_Status
15612525,France,Female,57,1,0.0,131372.38,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,15,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15768072,Spain,Female,33,2,0.0,27557.18,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,15,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15711314,Spain,Female,45,1,0.0,125939.22,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,15,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15656683,France,Male,52,1,0.0,63584.55,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,15,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15653347,Spain,Male,47,1,0.0,128882.66,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,15,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15657306,France,Female,47,2,0.0,110900.43,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,15,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15658768,France,Female,49,2,0.0,65466.93,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,15,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15724223,France,Female,55,5,0.0,10034.77,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,20,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15720071,France,Female,49,3,0.0,61820.41,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,20,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15808544,France,Female,40,3,0.0,57817.84,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,20,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15777873,France,Female,31,5,0.0,147963.07,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,20,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15790630,France,Female,48,4,0.0,18094.96,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,20,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15785367,France,Female,56,4,0.0,84383.22,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,20,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15570931,France,Male,61,5,0.0,31641.52,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,20,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15706799,Spain,Male,44,4,0.0,84972.9,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,20,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15801436,France,Male,42,4,0.0,126353.13,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,20,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15765173,France,Female,60,3,0.0,113796.15,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,20,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15641319,Spain,Male,50,4,0.0,107112.25,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,20,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15686242,France,Female,57,4,0.0,85876.67,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,20,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15592104,France,Female,41,5,0.0,36548.0,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,20,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15669664,Germany,Male,54,1,99774.5,4896.11,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,25,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15806467,Germany,Male,40,1,99282.63,134600.94,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,25,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15791373,Germany,Female,35,2,80931.75,12639.67,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,25,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15578603,Germany,Female,54,1,77354.37,138192.98,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,25,Very Weak Relationship,0.0,Critical Retention Risk,Churned
15775590,Germany,Female,48,2,69329.47,102640.52,1,No Credit Card,Inactive Member,Single Product,Inactive Single-Product Risk,Already Churned,25,Very Weak Relationship,0.0,Critical Retention Risk,Churned
