CustomerId,Relationship_Strength_Index,Retention_Strength_Score,Retention_Strength_Tier,Engagement_Status,Product_Depth_Segment,Customer_Risk_Segment,NumOfProducts,Balance,Exited,Churn_Status,Bubble_Size
15619608,50,25.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,92895.56,1,Churned Customer,7
15700212,50,15.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,0.0,1,Churned Customer,14
15617065,50,25.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,194532.66,1,Churned Customer,7
15689786,35,9.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,169743.83,1,Churned Customer,7
15648876,30,32.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15792228,45,23.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,152335.7,1,Churned Customer,7
15630725,40,21.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,92786.66,1,Churned Customer,7
15646082,45,13.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,82909.14,1,Churned Customer,7
15745080,35,34.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15815095,65,21.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,108185.81,1,Churned Customer,14
15806256,45,13.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,109349.29,1,Churned Customer,7
15813363,35,34.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,0.0,0,Retained Customer,14
15604314,35,34.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,97331.19,0,Retained Customer,7
15670374,30,27.0,Critical Retention Risk,Inactive Member,High Product Load,At-Risk Premium,4,120656.86,1,Churned Customer,28
15814846,30,17.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,0.0,1,Churned Customer,7
15797767,55,27.0,Critical Retention Risk,Active Member,Single Product,Standard Monitoring,1,0.0,1,Churned Customer,7
15723851,25,30.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15586479,30,17.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,0.0,1,Churned Customer,7
15566211,45,13.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,103560.57,1,Churned Customer,7
15739592,40,1.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,98438.23,1,Churned Customer,7
15571778,60,19.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,117561.49,1,Churned Customer,7
15672912,65,31.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,At-Risk Premium,2,130051.66,1,Churned Customer,14
15569274,45,23.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,116933.11,1,Churned Customer,7
15766734,30,32.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15757434,45,28.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,119706.22,0,Retained Customer,7
15808386,45,13.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,138523.2,1,Churned Customer,7
15676242,50,25.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,136556.44,1,Churned Customer,7
15585367,50,25.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,120392.99,1,Churned Customer,7
15810723,35,29.0,Critical Retention Risk,Inactive Member,High Product Load,High Product Load Risk,3,0.0,1,Churned Customer,21
15716491,60,29.0,Critical Retention Risk,Active Member,Single Product,Standard Monitoring,1,93656.95,1,Churned Customer,7
15796074,55,27.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,99472.76,1,Churned Customer,14
15721507,35,9.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,117094.02,1,Churned Customer,7
15632503,45,23.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,148326.09,1,Churned Customer,7
15747757,45,3.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,118723.11,1,Churned Customer,7
15762716,60,29.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,168920.75,1,Churned Customer,7
15786717,35,34.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,0.0,0,Retained Customer,14
15675926,55,17.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,118028.35,1,Churned Customer,7
15810485,35,24.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,101438.0,0,Retained Customer,7
15701333,35,34.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,96558.66,0,Retained Customer,7
15784687,35,34.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,126477.42,0,Retained Customer,7
15715047,60,29.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,172478.15,1,Churned Customer,7
15707968,65,31.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,73211.12,1,Churned Customer,14
15701765,35,34.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,0.0,0,Retained Customer,14
15606273,60,29.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,At-Risk Premium,2,144235.73,1,Churned Customer,14
15727703,50,30.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,126979.75,0,Retained Customer,7
15744044,40,21.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,99353.42,1,Churned Customer,7
15611318,40,11.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,51690.89,1,Churned Customer,7
15804862,45,28.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,127146.68,0,Retained Customer,7
15798975,40,11.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,132403.56,1,Churned Customer,7
15661548,35,34.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,157829.12,0,Retained Customer,7
15762277,40,11.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,158623.14,1,Churned Customer,7
15803456,30,7.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,0.0,1,Churned Customer,7
15788224,35,24.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,123949.75,0,Retained Customer,7
15590146,55,27.0,Critical Retention Risk,Active Member,Single Product,Standard Monitoring,1,81947.76,1,Churned Customer,7
15686670,45,23.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,0.0,1,Churned Customer,14
15811690,35,9.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,128966.13,1,Churned Customer,7
15734008,50,25.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,152581.06,1,Churned Customer,7
15744517,30,7.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,0.0,1,Churned Customer,7
15634891,55,27.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,102365.49,1,Churned Customer,7
15669411,55,17.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,107467.56,1,Churned Customer,7
15792986,45,23.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,133811.78,1,Churned Customer,7
15624510,55,27.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,139781.06,1,Churned Customer,7
15598751,20,13.0,Critical Retention Risk,Inactive Member,High Product Load,High Product Load Risk,3,0.0,1,Churned Customer,21
15796179,35,34.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15736760,30,32.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,0.0,0,Retained Customer,7
15628947,40,11.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,0.0,1,Churned Customer,14
15618239,25,30.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15748797,25,5.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15705113,35,24.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,83264.28,0,Retained Customer,7
15593094,40,11.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15785367,20,0.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15736254,35,34.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,91955.61,0,Retained Customer,7
15624820,30,17.0,Critical Retention Risk,Inactive Member,High Product Load,High Product Load Risk,3,50911.21,1,Churned Customer,21
15684196,45,23.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,159441.27,1,Churned Customer,7
15775295,65,31.0,Critical Retention Risk,Active Member,Single Product,Standard Monitoring,1,118633.08,1,Churned Customer,7
15649150,50,15.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,127642.44,1,Churned Customer,7
15790113,55,17.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,113317.1,1,Churned Customer,7
15646190,35,9.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,119963.45,1,Churned Customer,7
15697844,40,11.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15581198,45,13.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,122104.79,1,Churned Customer,7
15714466,25,25.0,Critical Retention Risk,Inactive Member,High Product Load,High Product Load Risk,3,0.0,1,Churned Customer,21
15702912,25,5.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15642001,60,19.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,119530.52,1,Churned Customer,7
15686913,25,30.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15632275,25,30.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15715907,60,19.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,113109.52,1,Churned Customer,7
15771409,55,27.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,151933.63,1,Churned Customer,7
15771942,60,29.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,135555.66,1,Churned Customer,7
15724858,40,21.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,0.0,1,Churned Customer,7
15611189,25,20.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,97792.21,0,Retained Customer,7
15729718,20,13.0,Critical Retention Risk,Inactive Member,High Product Load,High Product Load Risk,3,0.0,1,Churned Customer,21
15611409,35,34.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,0.0,0,Retained Customer,14
15690647,45,13.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,67563.31,1,Churned Customer,7
15734649,45,23.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,133295.98,1,Churned Customer,7
15797276,40,11.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,90350.77,1,Churned Customer,7
15599152,35,34.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,156111.24,0,Retained Customer,7
15779492,35,0.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,94231.13,1,Churned Customer,7
15796334,60,29.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,144757.02,1,Churned Customer,7
15777045,40,21.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,81811.71,1,Churned Customer,7
15574068,50,5.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,104217.3,1,Churned Customer,7
15625501,45,13.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,127201.58,1,Churned Customer,7
15809772,25,30.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15640521,50,25.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,144962.74,1,Churned Customer,7
15790630,20,0.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15645937,30,32.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15799966,50,15.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,101609.77,1,Churned Customer,7
15644878,45,28.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,117302.62,0,Retained Customer,7
15596671,35,0.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,91611.12,1,Churned Customer,7
15573888,35,9.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,107963.38,1,Churned Customer,7
15612494,55,27.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,128747.69,1,Churned Customer,7
15671534,45,13.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,90212.0,1,Churned Customer,7
15768124,30,32.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15707042,35,34.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,87413.19,0,Retained Customer,7
15630592,30,7.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15593834,45,13.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,129934.64,1,Churned Customer,7
15783225,40,11.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15790204,40,11.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15748499,70,33.0,Critical Retention Risk,Active Member,Single Product,Standard Monitoring,1,118400.91,1,Churned Customer,7
15668889,40,31.0,Critical Retention Risk,Inactive Member,High Product Load,High Product Load Risk,4,116322.27,1,Churned Customer,28
15617482,45,23.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,131441.51,1,Churned Customer,7
15710164,45,13.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,0.0,1,Churned Customer,14
15569682,60,19.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,108308.11,1,Churned Customer,7
15704583,25,5.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15799859,50,25.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,165438.26,1,Churned Customer,7
15746139,35,34.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,139451.67,0,Retained Customer,7
15713144,35,34.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15684516,35,24.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,121151.05,0,Retained Customer,7
15628420,25,30.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,80462.24,0,Retained Customer,7
15609356,35,34.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,0.0,0,Retained Customer,14
15734610,35,29.0,Critical Retention Risk,Inactive Member,High Product Load,High Product Load Risk,3,89838.71,1,Churned Customer,21
15768600,60,29.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,130023.38,1,Churned Customer,7
15776233,55,27.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,125397.21,1,Churned Customer,7
15624641,40,21.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,0.0,1,Churned Customer,7
15667289,35,34.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,0.0,0,Retained Customer,14
15711446,25,25.0,Critical Retention Risk,Inactive Member,High Product Load,High Product Load Risk,3,0.0,1,Churned Customer,21
15633233,45,13.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,100374.58,1,Churned Customer,7
15672432,30,7.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15793307,35,29.0,Critical Retention Risk,Inactive Member,High Product Load,At-Risk Premium,3,142880.28,1,Churned Customer,21
15651533,50,25.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,129293.74,1,Churned Customer,7
15771417,45,13.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,132412.38,1,Churned Customer,7
15767264,35,0.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,117438.17,1,Churned Customer,7
15585100,60,29.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,124401.6,1,Churned Customer,7
15789611,45,13.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,150836.92,1,Churned Customer,7
15672397,35,34.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,125487.89,0,Retained Customer,7
15617348,35,34.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,0.0,0,Retained Customer,14
15726589,35,34.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,82531.11,0,Retained Customer,7
15747503,45,23.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,184552.12,1,Churned Customer,7
15755868,25,20.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15597930,35,9.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,59669.43,1,Churned Customer,7
15725776,45,28.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,101195.23,0,Retained Customer,7
15719940,70,23.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,115280.49,1,Churned Customer,14
15571415,55,27.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,151802.29,1,Churned Customer,7
15600975,50,25.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,150005.38,1,Churned Customer,7
15763108,55,17.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,106261.63,1,Churned Customer,7
15804516,25,30.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15585892,25,30.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,0.0,0,Retained Customer,7
15631882,50,30.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,103399.87,0,Retained Customer,7
15663441,50,25.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,148571.07,1,Churned Customer,7
15638610,50,25.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,117325.54,1,Churned Customer,7
15753332,55,27.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,128140.17,1,Churned Customer,7
15788483,25,30.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15808930,25,30.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15626787,45,13.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,185078.26,1,Churned Customer,7
15708422,35,34.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,0.0,0,Retained Customer,14
15727317,40,31.0,Critical Retention Risk,Inactive Member,High Product Load,High Product Load Risk,3,102286.6,1,Churned Customer,21
15721460,45,13.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,185648.56,1,Churned Customer,7
15576156,35,34.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15682995,35,34.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,78535.25,0,Retained Customer,7
15718465,40,21.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,96891.46,1,Churned Customer,7
15700854,35,9.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15713826,35,0.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,117356.19,1,Churned Customer,7
15770039,50,15.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,112290.22,1,Churned Customer,7
15644453,50,25.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,132670.53,1,Churned Customer,7
15622631,55,27.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,154409.74,1,Churned Customer,7
15731555,50,15.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,106000.12,1,Churned Customer,7
15731478,25,20.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,87842.98,0,Retained Customer,7
15730433,45,23.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,128218.47,1,Churned Customer,7
15658057,30,27.0,Critical Retention Risk,Inactive Member,High Product Load,High Product Load Risk,3,0.0,1,Churned Customer,21
15808175,45,13.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,49572.73,1,Churned Customer,7
15589210,20,18.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15640074,20,3.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,0.0,1,Churned Customer,7
15617166,25,30.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15716994,50,15.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,114739.92,1,Churned Customer,7
15715750,35,0.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,113063.83,1,Churned Customer,7
15755722,30,22.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15596303,45,23.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,0.0,1,Churned Customer,14
15579706,30,7.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15662758,35,34.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,97925.11,0,Retained Customer,7
15641170,20,28.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,0.0,0,Retained Customer,7
15783883,45,13.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,117314.92,1,Churned Customer,7
15787693,50,25.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,145874.35,1,Churned Customer,7
15682355,60,29.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,Standard Monitoring,2,75075.31,1,Churned Customer,14
15670823,45,13.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,116646.76,1,Churned Customer,7
15680346,35,34.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15683124,45,13.0,Critical Retention Risk,Inactive Member,Single Product,At-Risk Premium,1,115029.4,1,Churned Customer,7
15649124,50,30.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,121535.18,0,Retained Customer,7
15613886,25,5.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,1,Churned Customer,7
15621423,40,21.0,Critical Retention Risk,Inactive Member,High Product Load,High Product Load Risk,3,117280.23,1,Churned Customer,21
15634281,50,30.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,110822.9,0,Retained Customer,7
15582090,30,32.0,Critical Retention Risk,Inactive Member,Single Product,Inactive Single-Product Risk,1,0.0,0,Retained Customer,7
15768137,65,31.0,Critical Retention Risk,Inactive Member,Optimal Product Depth,At-Risk Premium,2,136100.69,1,Churned Customer,14
