Output Name,File Name,Export Status
Retention Strength Score Distribution Summary,step_9g_retention_score_distribution_summary.csv,Exported
Retention Tier Churn Analysis,step_9h_retention_tier_churn.csv,Exported
Engagement Retention Matrix,step_9i_engagement_retention_matrix.csv,Exported
Product Depth Retention Matrix,step_9j_product_depth_retention_matrix.csv,Exported
Customer Risk Segment Distribution,step_9k_customer_risk_segment_distribution.csv,Exported
Customer Risk Segment Churn Ranking,step_9l_customer_risk_segment_churn_ranking.csv,Exported
Customer Risk Segment Mix,step_9m_customer_risk_segment_mix.csv,Exported
High-Value Status and Engagement Churn,step_9n_high_value_engagement_churn.csv,Exported
Salary-Balance Mismatch Churn,step_9o_salary_balance_mismatch_churn.csv,Exported
Credit Card Retention vs Churn Split,step_9p_credit_card_retention_churn_split.csv,Exported
Relationship Strength Tier Churn Trend,step_9q_relationship_strength_tier_churn_trend.csv,Exported
Retention vs Relationship Strength Scatter Dataset,step_9r_retention_vs_relationship_strength_scatter.csv,Exported
Upgraded Visual Insight Summary,step_9s_upgraded_visual_insight_summary.csv,Exported
